batch_id,recipient_id,status,sent_at,opened_at,replied_at,bounced_at
33,693,sent,2026-05-28T13:13:32.465131,,,
33,694,sent,2026-05-28T13:15:36.774604,,,
33,695,sent,2026-05-28T13:17:40.619083,,,
33,696,sent,2026-05-28T13:19:43.381672,,,
33,697,sent,2026-05-28T13:21:46.459919,,,
33,698,sent,2026-05-28T13:23:49.510338,,,
33,699,sent,2026-05-28T13:25:52.073836,,,
33,700,sent,2026-05-28T13:27:54.834149,,,
33,701,sent,2026-05-28T13:29:57.919350,,,
33,702,sent,2026-05-28T13:32:01.442581,,,
33,703,sent,2026-05-28T13:34:04.802187,,,
33,704,sent,2026-05-28T13:36:10.864652,,,
33,705,sent,2026-05-28T13:38:13.196376,,,
